Job_Title,Job_Company,Job_Location,Job_Salary
Data Scientist I,ReaderLink,"Oak Brook, IL",
Senior Data Science Associate,TheMathCompany,"Chicago, IL",
"Intern, Data Science",Kemper,"Chicago, IL",
Data Science Analyst,Kin Insurance,"Chicago, IL",
"Data Scientist, Climate Change Solutions",Environmental Law & Policy Center,"Chicago, IL","$75,000 - $80,000 a year"
Data Engineer - Data Science,Numerator,"Chicago, IL",
Data Scientist,Ropes & Gray,"Chicago, IL",
Data Scientist,Inspire11,"Chicago, IL",
Data Scientist - First Team,Chicago Fire FC,"Chicago, IL",
Data Science Intern (Summer 2021),Wolverine Trading,"Chicago, IL",
Data Science & Analytics Internship (Summer 2021),TransUnion,"Chicago, IL",
Data Science Associate,ZS Associates,"Chicago, IL",
Business Analytics 2,PayPal,"Chicago, IL",
Data Science Intern,Capax Global LLC,"Chicago, IL",
Data Scientist,"Vertical Trail, LLC","Chicago, IL","$79,645 - $160,861 a year"
Data Science Intern,Capax Global LLC,"Chicago, IL",
Data Scientist,"Vertical Trail, LLC","Chicago, IL","$79,645 - $160,861 a year"
Data Science Intern - Search and Information Retrieval,Grainger,"Chicago, IL",
Data Analytics Intern,TDS,"Chicago, IL",
2020 – 2021 Yearlong Data Science and Data Management Intern,Chicago Transit Authority,"Chicago, IL",$12 - $17 an hour
Economist / Statistician (Economics),US Department of Labor,"Chicago, IL","$47,967 - $111,720 a year"
Data Visualization Intern,Epsilon,"Chicago, IL",
Data Engineer,Equity Residential,"Chicago, IL",
"Data Science Internship, Zoro",Zoro Tools,"Chicago, IL",
Data Scientist Intern,Epsilon,"Chicago, IL",
Alight Campus - Data Science Analyst,Alight,"Chicago, IL",
CCHIP Regional System Data Analyst,Hektoen Institute LLC,"Chicago, IL",
Senior Reference Data Analyst,DRW,"Chicago, IL",
Data Analyst,Foxtrot,"Chicago, IL",
National – Chicago – Consulting – Data and Analytics Senior - Winter 2021,Ernst & Young,"Chicago, IL",
Data Analyst,Foxtrot,"Chicago, IL",
National – Chicago – Consulting – Data and Analytics Senior - Winter 2021,Ernst & Young,"Chicago, IL",
Data Scientist,IRI,"Chicago, IL",
Data Science/Analytics Paid Internship,Chubb,"Chicago, IL",
Data Science Consultant,Accenture,"Chicago, IL",
"Supervisor, Customer Data Science",McDonald's Corporate,"Chicago, IL",
Data Scientist,Aspen Dental,"Chicago, IL",
Data Scientist - Decision Sciences,"Groupon, Inc.","Chicago, IL",
"2021 Summer Intern, Data Science – Advanced Analytics",Chamberlain Group Inc,"Oak Brook, IL",
Quantitative Finance Analyst,Bank of America,"Chicago, IL",
Data Scientist,Change Healthcare,"Lombard, IL",
Analytics Consultant (Data Scientist),CNA Insurance,"Chicago, IL",
BUSINESS INTELLIGENCE AND DATA SCIENCE ENGINEER,Continuus Technologies,"Chicago, IL",
Data Science Intern,Shure Incorporated,"Niles, IL",
